"date","bankfull","highfloodrisk","moderatefloodrisk","longtermmean","previousreadingvalue","readingvalue"
"2023-01-02","6.00","5.00","4.50",,"1.58","2.02"
"2023-01-03","6.00","5.00","4.50","1.7264","1.56","2.30"
"2023-01-04","6.00","5.00","4.50","1.6691","1.56","2.12"
"2023-01-05","6.00","5.00","4.50","1.6636","1.44","2.02"
"2023-01-06","6.00","5.00","4.50","1.6355","1.40","2.02"
"2023-01-07","6.00","5.00","4.50","1.6100","1.38","1.98"
"2023-01-08","6.00","5.00","4.50","1.5455","1.38","2.02"
"2023-01-09","6.00","5.00","4.50","1.5336","1.36","2.08"
"2023-01-10","6.00","5.00","4.50","1.5309","1.34","1.94"
"2023-01-11","6.00","5.00","4.50","1.5136","1.32","1.94"
"2023-01-12","6.00","5.00","4.50","1.4927","1.26","1.96"
"2023-01-13","6.00","5.00","4.50","1.4718","1.18","1.86"
"2023-01-14","6.00","5.00","4.50","1.4700","1.14","1.70"
"2023-01-15","6.00","5.00","4.50","1.4864","1.12","1.60"
"2023-01-16","6.00","5.00","4.50","1.4691","1.10","1.52"
"2023-01-17","6.00","5.00","4.50","1.4591","1.08","1.46"
"2023-01-18","6.00","5.00","4.50","1.4427","1.06","1.68"
"2023-01-19","6.00","5.00","4.50","1.4227","1.04","1.82"
"2023-01-20","6.00","5.00","4.50","1.4145","1.06","1.88"
"2023-01-21","6.00","5.00","4.50","1.4027","1.02","1.86"
"2023-01-22","6.00","5.00","4.50","1.3905","1.02","1.86"
"2023-01-23","6.00","5.00","4.50","1.3755","1.50","1.88"
"2023-01-24","6.00","5.00","4.50","1.3691","1.50","1.88"
"2023-01-25","6.00","5.00","4.50","1.3609","1.50","1.84"
"2023-01-26","6.00","5.00","4.50","1.3545","1.36","1.82"
"2023-01-27","6.00","5.00","4.50","1.3691","1.28","1.86"
"2023-01-28","6.00","5.00","4.50","1.3718","1.28","1.84"
"2023-01-29","6.00","5.00","4.50","1.3627","1.38","1.70"
"2023-01-30","6.00","5.00","4.50","1.3582","1.28","1.82"
"2023-01-31","6.00","5.00","4.50","1.3564","1.22","1.84"
"2023-02-01","6.00","5.00","4.50","1.3555","1.18","1.88"
"2023-02-02","6.00","5.00","4.50","1.3391","1.14","1.90"
"2023-02-03","6.00","5.00","4.50","1.3245","1.14","1.86"
"2023-02-04","6.00","5.00","4.50","1.3118","1.10","1.84"
"2023-02-05","6.00","5.00","4.50","1.3018","1.06","1.72"
"2023-02-06","6.00","5.00","4.50","1.2927","1.06","1.80"
"2023-02-07","6.00","5.00","4.50","1.2891","1.04","1.84"
"2023-02-08","6.00","5.00","4.50","1.2927","1.02","1.92"
"2023-02-09","6.00","5.00","4.50","1.2945","1.00","2.02"
"2023-02-10","6.00","5.00","4.50","1.3036","1.00","2.00"
"2023-02-11","6.00","5.00","4.50","1.3027","1.00","1.84"
"2023-02-12","6.00","5.00","4.50","1.3009","1.00","1.86"
"2023-02-13","6.00","5.00","4.50","1.2845","1.00","2.00"
"2023-02-14","6.00","5.00","4.50","1.2818","1.00","1.92"
"2023-02-15","6.00","5.00","4.50","1.2682","1.00","1.90"
"2023-02-16","6.00","5.00","4.50","1.2691","1.00","1.88"
"2023-02-17","6.00","5.00","4.50","1.2491","1.00","1.82"
"2023-02-18","6.00","5.00","4.50","1.2382","1.00","1.74"
"2023-02-19","6.00","5.00","4.50","1.2255","1.00","1.82"
"2023-02-20","6.00","5.00","4.50","1.2173","1.00","1.82"
"2023-02-21","6.00","5.00","4.50","1.2027","1.00","1.86"
"2023-02-22","6.00","5.00","4.50","1.1891","1.00","1.86"
"2023-02-23","6.00","5.00","4.50","1.1809","1.00","1.86"
"2023-02-24","6.00","5.00","4.50","1.1691","1.00","1.88"
"2023-02-25","6.00","5.00","4.50","1.1564","1.00","1.86"
"2023-02-26","6.00","5.00","4.50","1.1527","1.00","1.80"
"2023-02-27","6.00","5.00","4.50","1.1464","1.00","1.86"
"2023-02-28","6.00","5.00","4.50","1.1960","1.00","1.90"
"2023-03-01","6.00","5.00","4.50","1.1273","1.00","1.88"
"2023-03-02","6.00","5.00","4.50","1.1236","1.00","1.94"
"2023-03-03","6.00","5.00","4.50","1.1182","1.00","1.96"
"2023-03-04","6.00","5.00","4.50","1.1236","1.00","1.90"
"2023-03-05","6.00","5.00","4.50","1.1891","1.00","1.96"
"2023-03-06","6.00","5.00","4.50","1.2055","1.00","1.92"
"2023-03-07","6.00","5.00","4.50","1.1864","1.00","1.76"
"2023-03-08","6.00","5.00","4.50","1.2582","1.00","1.68"
"2023-03-09","6.00","5.00","4.50","1.3018","1.00","1.70"
"2023-03-10","6.00","5.00","4.50","1.2755","1.00","1.82"
"2023-03-11","6.00","5.00","4.50","1.2400","1.00","1.88"
"2023-03-12","6.00","5.00","4.50","1.2345","1.00","1.94"
"2023-03-13","6.00","5.00","4.50","1.2182","1.00","1.94"
"2023-03-14","6.00","5.00","4.50","1.2136","1.00","1.94"
"2023-03-15","6.00","5.00","4.50","1.2118","1.00","1.92"
"2023-03-16","6.00","5.00","4.50","1.2118","1.00","1.88"
"2023-03-17","6.00","5.00","4.50","1.2236","1.00","1.92"
"2023-03-18","6.00","5.00","4.50","1.2309","1.00","1.94"
"2023-03-19","6.00","5.00","4.50","1.2600","1.00","4.88"
"2023-03-20","6.00","5.00","4.50","1.2355","1.00","4.74"
"2023-03-21","6.00","5.00","4.50","1.2355","1.00","4.08"
"2023-03-22","6.00","5.00","4.50","1.2055","1.00","4.02"
"2023-03-23","6.00","5.00","4.50","1.2027","1.00","3.84"
"2023-03-24","6.00","5.00","4.50","1.2318","1.00","5.14"
"2023-03-25","6.00","5.00","4.50","1.3673","1.00","5.32"
"2023-03-26","6.00","5.00","4.50","1.2908","1.00","4.46"
"2023-03-27","6.00","5.00","4.50","1.2717","1.00","4.82"
"2023-03-28","6.00","5.00","4.50","1.3008","1.00","4.28"
"2023-03-29","6.00","5.00","4.50","1.3608","1.05","4.16"
"2023-03-30","6.00","5.00","4.50","1.3608","1.05","4.08"
"2023-03-31","6.00","5.00","4.50","1.3508","1.00","4.00"
"2023-04-01","6.00","5.00","4.50","1.3350","1.00","4.16"
"2023-04-02","6.00","5.00","4.50","1.3667","1.02","4.08"
"2023-04-03","6.00","5.00","4.50","1.3642","1.02","3.44"
"2023-04-04","6.00","5.00","4.50","1.3967","1.02","3.40"
"2023-04-05","6.00","5.00","4.50","1.4625","1.02","3.62"
"2023-04-06","6.00","5.00","4.50","1.4917","1.00","4.08"
"2023-04-07","6.00","5.00","4.50","1.5338","1.00","4.00"
"2023-04-08","6.00","5.00","4.50","1.5225","1.00","4.08"
"2023-04-09","6.00","5.00","4.50","1.7000","1.00","4.00"
"2023-04-10","6.00","5.00","4.50","1.7773","1.00","4.08"
"2023-04-11","6.00","5.00","4.50","1.7682","1.00","3.96"
"2023-04-12","6.00","5.00","4.50","1.9364","1.00","3.90"
"2023-04-13","6.00","5.00","4.50","1.8355","1.00","3.62"
"2023-04-14","6.00","5.00","4.50","1.8645","1.00","3.84"
"2023-04-15","6.00","5.00","4.50","1.8964","1.00","3.36"
"2023-04-16","6.00","5.00","4.50","1.9936","1.00","3.78"
"2023-04-17","6.00","5.00","4.50","1.9427","1.00","3.98"
"2023-04-18","6.00","5.00","4.50","2.1800","1.00","3.66"
"2023-04-19","6.00","5.00","4.50","2.2845","1.26","3.86"
"2023-04-20","6.00","5.00","4.50","2.3264","1.00","4.06"
"2023-04-21","6.00","5.00","4.50","2.6200","2.62","4.14"
"2023-04-22","6.00","5.00","4.50","2.5936","2.56","4.08"
"2023-04-23","6.00","5.00","4.50","2.5527","1.96","4.30"
"2023-04-24","6.00","5.00","4.50","2.5718","2.64","4.48"
"2023-04-25","6.00","5.00","4.50","2.7127","2.50","4.22"
"2023-04-26","6.00","5.00","4.50","3.0145","2.42","4.08"
"2023-04-27","6.00","5.00","4.50","2.8364","3.56","4.02"
"2023-04-28","6.00","5.00","4.50","3.0059","3.50","4.48"
"2023-04-29","6.00","5.00","4.50","3.0461","3.96","4.32"
"2023-04-30","6.00","5.00","4.50","3.2845","3.74","4.26"
"2023-05-01","6.00","5.00","4.50","3.3991","3.74","4.58"
