"date","bankfull","highfloodrisk","moderatefloodrisk","longtermmean","previousreadingvalue","readingvalue"
"2023-01-02","7.00","6.00","5.50",,"1.60","2.24"
"2023-01-03","7.00","6.00","5.50","1.9232","1.60","2.34"
"2023-01-04","7.00","6.00","5.50","1.9005","1.56","2.24"
"2023-01-05","7.00","6.00","5.50","1.8737","1.56","2.12"
"2023-01-06","7.00","6.00","5.50","1.8363","1.56","2.10"
"2023-01-07","7.00","6.00","5.50","1.8300","1.56","2.00"
"2023-01-08","7.00","6.00","5.50","1.8000","1.52","2.40"
"2023-01-09","7.00","6.00","5.50","1.7789","1.52","2.20"
"2023-01-10","7.00","6.00","5.50","1.7568","1.50","1.98"
"2023-01-11","7.00","6.00","5.50","1.7395","1.50","1.96"
"2023-01-12","7.00","6.00","5.50","1.7326","1.48","1.96"
"2023-01-13","7.00","6.00","5.50","1.7226","1.48","1.86"
"2023-01-14","7.00","6.00","5.50","1.7105","1.46","1.88"
"2023-01-15","7.00","6.00","5.50","1.6953","1.46","1.88"
"2023-01-16","7.00","6.00","5.50","1.6789","1.44","1.78"
"2023-01-17","7.00","6.00","5.50","1.6816","1.44","1.58"
"2023-01-18","7.00","6.00","5.50","1.6642","1.44","1.56"
"2023-01-19","7.00","6.00","5.50","1.6532","1.40","1.68"
"2023-01-20","7.00","6.00","5.50","1.6389","1.44","1.80"
"2023-01-21","7.00","6.00","5.50","1.6226","1.36","1.88"
"2023-01-22","7.00","6.00","5.50","1.6084","1.30","1.90"
"2023-01-23","7.00","6.00","5.50","1.5942","1.26","1.88"
"2023-01-24","7.00","6.00","5.50","1.5845","1.26","1.90"
"2023-01-25","7.00","6.00","5.50","1.5668","1.22","1.86"
"2023-01-26","7.00","6.00","5.50","1.5589","1.50","1.84"
"2023-01-27","7.00","6.00","5.50","1.5526","1.50","1.80"
"2023-01-28","7.00","6.00","5.50","1.5463","1.42","1.88"
"2023-01-29","7.00","6.00","5.50","1.5447","1.36","1.78"
"2023-01-30","7.00","6.00","5.50","1.5426","1.26","1.84"
"2023-01-31","7.00","6.00","5.50","1.5337","1.26","1.86"
"2023-02-01","7.00","6.00","5.50","1.5268","1.26","1.88"
"2023-02-02","7.00","6.00","5.50","1.5216","1.20","1.92"
"2023-02-03","7.00","6.00","5.50","1.5233","1.14","1.88"
"2023-02-04","7.00","6.00","5.50","1.5094","1.14","1.88"
"2023-02-05","7.00","6.00","5.50","1.4944","1.04","1.78"
"2023-02-06","7.00","6.00","5.50","1.4850","1.04","1.78"
"2023-02-07","7.00","6.00","5.50","1.4794","0.94","1.86"
"2023-02-08","7.00","6.00","5.50","1.4717","0.94","1.94"
"2023-02-09","7.00","6.00","5.50","1.4567","0.92","2.04"
"2023-02-10","7.00","6.00","5.50","1.4556","0.92","2.04"
"2023-02-11","7.00","6.00","5.50","1.4433","0.92","2.02"
"2023-02-12","7.00","6.00","5.50","1.4344","0.90","1.90"
"2023-02-13","7.00","6.00","5.50","1.4133","0.92","1.98"
"2023-02-14","7.00","6.00","5.50","1.4028","0.90","1.94"
"2023-02-15","7.00","6.00","5.50","1.3917","0.90","1.96"
"2023-02-16","7.00","6.00","5.50","1.3967","0.90","1.78"
