id,date,station_number,level(m)
179215,2023-12-22,jb001,
179208,2023-12-21,jb001,2.06
179201,2023-12-20,jb001,2.02
179194,2023-12-19,jb001,2.54
179187,2023-12-18,jb001,2.1
179180,2023-12-17,jb001,2.18
179173,2023-12-16,jb001,2.26
179166,2023-12-15,jb001,2.6
179159,2023-12-14,jb001,2.74
179152,2023-12-13,jb001,2.92
179145,2023-12-12,jb001,2.9
179138,2023-12-11,jb001,2.76
179131,2023-12-10,jb001,2.82
179124,2023-12-09,jb001,2.94
179117,2023-12-08,jb001,3.02
179110,2023-12-07,jb001,3.1
179103,2023-12-06,jb001,3.1
179096,2023-12-05,jb001,3.38
179089,2023-12-04,jb001,3.52
179082,2023-12-03,jb001,3.74
179075,2023-12-02,jb001,3.9
179068,2023-12-01,jb001,4.2
179061,2023-11-30,jb001,5.0
179054,2023-11-29,jb001,5.16
179047,2023-11-28,jb001,5.58
179040,2023-11-27,jb001,7.0
179033,2023-11-26,jb001,7.0
179026,2023-11-25,jb001,7.0
179019,2023-11-24,jb001,7.0
179012,2023-11-23,jb001,7.0
179005,2023-11-22,jb001,7.0
178998,2023-11-21,jb001,7.0
178991,2023-11-20,jb001,7.0
178984,2023-11-19,jb001,7.0
178977,2023-11-18,jb001,7.0
178970,2023-11-17,jb001,7.0
178963,2023-11-16,jb001,7.0
178956,2023-11-15,jb001,7.0
178949,2023-11-14,jb001,7.0
178942,2023-11-13,jb001,7.0
178935,2023-11-12,jb001,7.0
178928,2023-11-11,jb001,7.0
178921,2023-11-10,jb001,7.0
178914,2023-11-09,jb001,7.0
178907,2023-11-08,jb001,7.0
178900,2023-11-07,jb001,7.0
178893,2023-11-06,jb001,7.0
178886,2023-11-05,jb001,7.0
178879,2023-11-04,jb001,7.0
178872,2023-11-03,jb001,7.0
178865,2023-11-02,jb001,6.86
178858,2023-11-01,jb001,6.4
178851,2023-10-31,jb001,6.44
178844,2023-10-30,jb001,6.38
178837,2023-10-29,jb001,6.2
178830,2023-10-28,jb001,5.78
178823,2023-10-27,jb001,4.56
178816,2023-10-26,jb001,4.0
178809,2023-10-25,jb001,4.54
178802,2023-10-24,jb001,4.3
178795,2023-10-23,jb001,4.68
178788,2023-10-22,jb001,5.56
178781,2023-10-21,jb001,6.1
178774,2023-10-20,jb001,5.6
178767,2023-10-19,jb001,3.96
178760,2023-10-18,jb001,3.84
178753,2023-10-17,jb001,3.7
178746,2023-10-16,jb001,3.38
178739,2023-10-15,jb001,3.6
178732,2023-10-14,jb001,4.0
178725,2023-10-13,jb001,3.92
178718,2023-10-12,jb001,3.86
178711,2023-10-11,jb001,3.9
178704,2023-10-10,jb001,3.82
178697,2023-10-09,jb001,3.7
178690,2023-10-08,jb001,3.64
178683,2023-10-07,jb001,3.54
178676,2023-10-06,jb001,3.62
178669,2023-10-05,jb001,5.54
178662,2023-10-04,jb001,3.42
178655,2023-10-03,jb001,3.36
178648,2023-10-02,jb001,3.24
178641,2023-10-01,jb001,3.18
178634,2023-09-30,jb001,3.1
178627,2023-09-29,jb001,3.0
178620,2023-09-28,jb001,2.94
178613,2023-09-27,jb001,2.88
178606,2023-09-26,jb001,2.74
178599,2023-09-25,jb001,2.62
178592,2023-09-24,jb001,2.64
178585,2023-09-23,jb001,2.66
178578,2023-09-22,jb001,2.6
178571,2023-09-21,jb001,2.66
178564,2023-09-20,jb001,2.66
178557,2023-09-19,jb001,2.7
178550,2023-09-18,jb001,2.72
178543,2023-09-17,jb001,2.72
178536,2023-09-16,jb001,2.74
178529,2023-09-15,jb001,2.76
178522,2023-09-14,jb001,2.76
178515,2023-09-13,jb001,2.96
178508,2023-09-12,jb001,2.4
178501,2023-09-11,jb001,2.46
178494,2023-09-10,jb001,2.44
178487,2023-09-09,jb001,2.4
178480,2023-09-08,jb001,2.4
178473,2023-09-07,jb001,2.42
178466,2023-09-06,jb001,2.42
178459,2023-09-05,jb001,2.44
178452,2023-09-04,jb001,2.46
178445,2023-09-03,jb001,2.64
178438,2023-09-02,jb001,2.62
178431,2023-09-01,jb001,2.66
178424,2023-08-31,jb001,2.68
178417,2023-08-30,jb001,2.78
178410,2023-08-29,jb001,2.78
178403,2023-08-28,jb001,2.8
178396,2023-08-27,jb001,2.86
178389,2023-08-26,jb001,2.94
178382,2023-08-25,jb001,3.0
178375,2023-08-24,jb001,3.0
178368,2023-08-23,jb001,3.04
178361,2023-08-22,jb001,3.0
178354,2023-08-21,jb001,3.1
178347,2023-08-20,jb001,3.26
178340,2023-08-19,jb001,3.16
178333,2023-08-18,jb001,3.1
178326,2023-08-17,jb001,3.0
178319,2023-08-16,jb001,3.32
178312,2023-08-15,jb001,3.3
178305,2023-08-14,jb001,3.34
178298,2023-08-13,jb001,3.2
178291,2023-08-12,jb001,3.38
178284,2023-08-11,jb001,3.34
178277,2023-08-10,jb001,3.3
178270,2023-08-09,jb001,3.08
178263,2023-08-08,jb001,3.12
178256,2023-08-07,jb001,3.02
178249,2023-08-06,jb001,3.06
178242,2023-08-05,jb001,3.06
178235,2023-08-04,jb001,3.06
178228,2023-08-03,jb001,3.04
178221,2023-08-02,jb001,3.0
178214,2023-08-01,jb001,2.74
178207,2023-07-31,jb001,2.72
178200,2023-07-30,jb001,2.66
178193,2023-07-29,jb001,2.68
178186,2023-07-28,jb001,2.66
178179,2023-07-27,jb001,2.7
178172,2023-07-26,jb001,2.7
178165,2023-07-25,jb001,2.74
178158,2023-07-24,jb001,2.74
178151,2023-07-23,jb001,2.78
178144,2023-07-22,jb001,2.72
178137,2023-07-21,jb001,2.7
178130,2023-07-20,jb001,2.74
178123,2023-07-19,jb001,2.7
178116,2023-07-18,jb001,2.7
178109,2023-07-17,jb001,2.7
178102,2023-07-16,jb001,2.84
178095,2023-07-15,jb001,2.8
178088,2023-07-14,jb001,3.02
178081,2023-07-13,jb001,3.06
178074,2023-07-12,jb001,3.04
178067,2023-07-11,jb001,2.6
178060,2023-07-10,jb001,3.06
178053,2023-07-09,jb001,3.0
178046,2023-07-08,jb001,3.0
178039,2023-07-07,jb001,2.96
178032,2023-07-06,jb001,3.0
178025,2023-07-05,jb001,3.02
178018,2023-07-04,jb001,2.96
178011,2023-07-03,jb001,2.94
178004,2023-07-02,jb001,2.96
177997,2023-07-01,jb001,3.0
177990,2023-06-30,jb001,2.94
177983,2023-06-29,jb001,2.9
177976,2023-06-28,jb001,2.76
177969,2023-06-27,jb001,2.82
177962,2023-06-26,jb001,2.8
177955,2023-06-25,jb001,3.0
177948,2023-06-24,jb001,2.92
177941,2023-06-23,jb001,2.78
177934,2023-06-22,jb001,2.38
177927,2023-06-21,jb001,2.4
177920,2023-06-20,jb001,2.44
177913,2023-06-19,jb001,2.48
177906,2023-06-18,jb001,2.5
177899,2023-06-17,jb001,2.54
177892,2023-06-16,jb001,2.6
177885,2023-06-15,jb001,2.66
177878,2023-06-14,jb001,2.74
177871,2023-06-13,jb001,2.7
177864,2023-06-12,jb001,2.84
177857,2023-06-11,jb001,2.9
177850,2023-06-10,jb001,2.96
177843,2023-06-09,jb001,3.06
177836,2023-06-08,jb001,3.1
177829,2023-06-07,jb001,3.22
177822,2023-06-06,jb001,3.4
177815,2023-06-05,jb001,3.6
177808,2023-06-04,jb001,3.52
177801,2023-06-03,jb001,3.78
177794,2023-06-02,jb001,4.0
177787,2023-06-01,jb001,4.9
177780,2023-05-31,jb001,4.6
177773,2023-05-30,jb001,2.9
177766,2023-05-29,jb001,2.66
177759,2023-05-28,jb001,2.68
177752,2023-05-27,jb001,3.0
177745,2023-05-26,jb001,3.06
177738,2023-05-25,jb001,2.92
177731,2023-05-24,jb001,2.86
177724,2023-05-23,jb001,3.0
177717,2023-05-22,jb001,2.96
177710,2023-05-21,jb001,3.02
177703,2023-05-20,jb001,3.02
177696,2023-05-19,jb001,3.44
177689,2023-05-18,jb001,3.52
177675,2023-05-17,jb001,3.6
177688,2023-05-16,jb001,3.7
175938,2023-05-15,jb001,3.8
175931,2023-05-14,jb001,4.0
175924,2023-05-13,jb001,4.12
175917,2023-05-12,jb001,4.0
175910,2023-05-11,jb001,3.94
175903,2023-05-10,jb001,4.0
175896,2023-05-09,jb001,4.36
175889,2023-05-08,jb001,4.84
175882,2023-05-07,jb001,4.84
175875,2023-05-06,jb001,4.8
175868,2023-05-05,jb001,5.0
175861,2023-05-04,jb001,5.12
175854,2023-05-03,jb001,4.98
175847,2023-05-02,jb001,4.48
175840,2023-05-01,jb001,4.36
175833,2023-04-30,jb001,4.48
175826,2023-04-29,jb001,4.48
175819,2023-04-28,jb001,4.38
175812,2023-04-27,jb001,4.28
175805,2023-04-26,jb001,4.36
175798,2023-04-25,jb001,4.4
175791,2023-04-24,jb001,4.5
175784,2023-04-23,jb001,4.34
175777,2023-04-22,jb001,4.18
175770,2023-04-21,jb001,4.0
175763,2023-04-20,jb001,3.84
175756,2023-04-19,jb001,3.78
175749,2023-04-18,jb001,3.7
175742,2023-04-17,jb001,3.72
175735,2023-04-16,jb001,3.56
175728,2023-04-15,jb001,3.6
175721,2023-04-14,jb001,3.8
175714,2023-04-13,jb001,3.9
175707,2023-04-12,jb001,3.92
175700,2023-04-11,jb001,4.0
175693,2023-04-10,jb001,3.9
175686,2023-04-09,jb001,3.9
175679,2023-04-08,jb001,4.0
175672,2023-04-07,jb001,3.96
175665,2023-04-06,jb001,3.82
175658,2023-04-05,jb001,3.8
175651,2023-04-04,jb001,3.88
175644,2023-04-03,jb001,4.0
175637,2023-04-02,jb001,4.14
175630,2023-04-01,jb001,4.2
175623,2023-03-31,jb001,4.4
175609,2023-03-30,jb001,4.6
175602,2023-03-29,jb001,4.5
175525,2023-03-28,jb001,4.8
175462,2023-03-27,jb001,5.1
174790,2023-03-26,jb001,5.3
174798,2023-03-25,jb001,5.2
174804,2023-03-24,jb001,4.0
174812,2023-03-23,jb001,3.9
174818,2023-03-22,jb001,4.1
174825,2023-03-21,jb001,4.4
174830,2023-03-20,jb001,4.5
174836,2023-03-19,jb001,2.0
174847,2023-03-18,jb001,1.9
174850,2023-03-17,jb001,1.9
174860,2023-03-16,jb001,1.9
174866,2023-03-15,jb001,1.9
174873,2023-03-14,jb001,1.9
174879,2023-03-13,jb001,2.0
174885,2023-03-12,jb001,1.9
174894,2023-03-11,jb001,1.8
174899,2023-03-10,jb001,1.7
174907,2023-03-09,jb001,1.7
174916,2023-03-08,jb001,1.8
174923,2023-03-07,jb001,1.8
174928,2023-03-06,jb001,1.9
174938,2023-03-05,jb001,1.9
174945,2023-03-04,jb001,1.9
174948,2023-03-03,jb001,1.8
174966,2023-03-01,jb001,1.9
174975,2023-02-28,jb001,1.8
174987,2023-02-27,jb001,1.8
174992,2023-02-26,jb001,1.8
175007,2023-02-24,jb001,1.9
175011,2023-02-23,jb001,1.9
175021,2023-02-22,jb001,1.9
175023,2023-02-21,jb001,1.8
175033,2023-02-20,jb001,1.8
175042,2023-02-19,jb001,1.8
175047,2023-02-18,jb001,1.8
175054,2023-02-17,jb001,1.9
175064,2023-02-15,jb001,2.0
175072,2023-02-14,jb001,1.9
175078,2023-02-13,jb001,2.0
175085,2023-02-12,jb001,1.9
175093,2023-02-11,jb001,2.0
175100,2023-02-10,jb001,2.0
175106,2023-02-09,jb001,2.0
175114,2023-02-08,jb001,1.9
175121,2023-02-07,jb001,1.9
175127,2023-02-06,jb001,1.8
175132,2023-02-05,jb001,1.8
175139,2023-02-04,jb001,1.9
175149,2023-02-03,jb001,1.9
175156,2023-02-02,jb001,1.9
175162,2023-02-01,jb001,1.9
175169,2023-01-31,jb001,1.9
175177,2023-01-30,jb001,1.8
175184,2023-01-29,jb001,1.8
175191,2023-01-28,jb001,1.9
175197,2023-01-27,jb001,1.8
175205,2023-01-26,jb001,1.8
175210,2023-01-25,jb001,1.9
175218,2023-01-24,jb001,1.9
175220,2023-01-23,jb001,1.9
175233,2023-01-22,jb001,1.9
175238,2023-01-21,jb001,1.9
175246,2023-01-20,jb001,1.8
175254,2023-01-19,jb001,1.7
175261,2023-01-18,jb001,1.6
175266,2023-01-17,jb001,1.6
175271,2023-01-16,jb001,1.8
175282,2023-01-15,jb001,1.9
175287,2023-01-14,jb001,1.9
175293,2023-01-13,jb001,1.9
175303,2023-01-12,jb001,2.0
175308,2023-01-11,jb001,2.0
175317,2023-01-10,jb001,2.0
175324,2023-01-09,jb001,2.2
175332,2023-01-08,jb001,2.4
175340,2023-01-07,jb001,2.0
175353,2023-01-06,jb001,2.1
175361,2023-01-05,jb001,2.1
175370,2023-01-04,jb001,2.2
175377,2023-01-03,jb001,2.3
175384,2023-01-02,jb001,2.2
175391,2023-01-01,jb001,2.2
167410,2022-12-31,jb001,2.0
167165,2022-12-30,jb001,2.4
166864,2022-12-29,jb001,2.0
166403,2022-12-28,jb001,1.9
166202,2022-12-27,jb001,1.92
165483,2022-12-23,jb001,1.9
165396,2022-12-21,jb001,2.12
165274,2022-12-20,jb001,1.94
165126,2022-12-19,jb001,1.9
164503,2022-12-16,jb001,2.14
164319,2022-12-14,jb001,2.22
163974,2022-12-13,jb001,2.26
163804,2022-12-12,jb001,2.26
163500,2022-12-10,jb001,2.36
163230,2022-12-07,jb001,2.34
163132,2022-12-06,jb001,2.38
162770,2022-12-05,jb001,2.3
162507,2022-12-04,jb001,2.3
162496,2022-12-03,jb001,2.34
162125,2022-12-02,jb001,2.32
161593,2022-12-01,jb001,2.42
161173,2022-11-30,jb001,2.34
161165,2022-11-29,jb001,2.38
160063,2022-11-28,jb001,2.38
160821,2022-11-27,jb001,2.4
142207,2022-11-27,jb001,2.4
142206,2022-11-26,jb001,2.5
142205,2022-11-25,jb001,2.54
142204,2022-11-24,jb001,2.56
142203,2022-11-23,jb001,2.5
142202,2022-11-22,jb001,2.5
142201,2022-11-21,jb001,2.56
142200,2022-11-20,jb001,2.68
142199,2022-11-19,jb001,2.64
142198,2022-11-18,jb001,2.64
142025,2022-11-14,jb001,2.78
140667,2022-11-12,jb001,2.8
140068,2022-11-10,jb001,3.0
139806,2022-11-09,jb001,3.04
139556,2022-11-08,jb001,3.4
139281,2022-11-07,jb001,3.7
139243,2022-11-06,jb001,3.94
138804,2022-11-05,jb001,4.1
138540,2022-11-04,jb001,4.3
138238,2022-11-03,jb001,4.34
137958,2022-11-02,jb001,4.14
137694,2022-11-01,jb001,4.2
137655,2022-10-31,jb001,4.96
137389,2022-10-30,jb001,5.0
136957,2022-10-29,jb001,4.92
136685,2022-10-28,jb001,4.88
136399,2022-10-27,jb001,4.76
136120,2022-10-26,jb001,3.9
135850,2022-10-25,jb001,3.66
135659,2022-10-24,jb001,3.18
135140,2022-10-21,jb001,2.86
135107,2022-10-20,jb001,2.76
134602,2022-10-18,jb001,2.7
134427,2022-10-17,jb001,2.74
134380,2022-10-16,jb001,2.8
133794,2022-10-14,jb001,2.82
133579,2022-10-13,jb001,2.78
133390,2022-10-12,jb001,2.72
133221,2022-10-11,jb001,2.68
133049,2022-10-10,jb001,2.62
132480,2022-10-07,jb001,2.44
132236,2022-10-06,jb001,2.5
131979,2022-10-05,jb001,2.54
131839,2022-10-04,jb001,2.6
131705,2022-10-03,jb001,2.64
131535,2022-10-02,jb001,2.7
130940,2022-09-29,jb001,2.54
130699,2022-09-28,jb001,2.62
130677,2022-09-27,jb001,2.9
130322,2022-09-26,jb001,2.94
130200,2022-09-25,jb001,2.82
129684,2022-09-22,jb001,2.96
129339,2022-09-20,jb001,2.92
129174,2022-09-19,jb001,2.88
128538,2022-09-16,jb001,2.76
128331,2022-09-15,jb001,2.76
128143,2022-09-14,jb001,2.74
128120,2022-09-13,jb001,2.7
127854,2022-09-12,jb001,2.52
127148,2022-09-09,jb001,2.36
126840,2022-09-08,jb001,2.32
126816,2022-09-07,jb001,2.28
126744,2022-09-06,jb001,2.28
126636,2022-09-05,jb001,2.22
126629,2022-09-04,jb001,2.24
