id,date,station_number,flow(m3/s)
179218,2023-12-22,jb010,
179211,2023-12-21,jb010,
179204,2023-12-20,jb010,
179197,2023-12-19,jb010,
179190,2023-12-18,jb010,
179183,2023-12-17,jb010,
179176,2023-12-16,jb010,
179169,2023-12-15,jb010,
179162,2023-12-14,jb010,
179155,2023-12-13,jb010,
179148,2023-12-12,jb010,
179141,2023-12-11,jb010,
179134,2023-12-10,jb010,
179127,2023-12-09,jb010,
179120,2023-12-08,jb010,
179113,2023-12-07,jb010,
179106,2023-12-06,jb010,
179099,2023-12-05,jb010,
179092,2023-12-04,jb010,
179085,2023-12-03,jb010,
179078,2023-12-02,jb010,
179071,2023-12-01,jb010,
179064,2023-11-30,jb010,
179057,2023-11-29,jb010,
179050,2023-11-28,jb010,
179043,2023-11-27,jb010,
179036,2023-11-26,jb010,
179029,2023-11-25,jb010,
179022,2023-11-24,jb010,
179015,2023-11-23,jb010,
179008,2023-11-22,jb010,
179001,2023-11-21,jb010,
178994,2023-11-20,jb010,
178987,2023-11-19,jb010,
178980,2023-11-18,jb010,
178973,2023-11-17,jb010,
178966,2023-11-16,jb010,
178959,2023-11-15,jb010,
178952,2023-11-14,jb010,
178945,2023-11-13,jb010,
178938,2023-11-12,jb010,
178931,2023-11-11,jb010,
178924,2023-11-10,jb010,
178917,2023-11-09,jb010,
178910,2023-11-08,jb010,
178903,2023-11-07,jb010,
178896,2023-11-06,jb010,
178889,2023-11-05,jb010,
178882,2023-11-04,jb010,
178875,2023-11-03,jb010,
178868,2023-11-02,jb010,
178861,2023-11-01,jb010,
178854,2023-10-31,jb010,
178847,2023-10-30,jb010,
178840,2023-10-29,jb010,
178833,2023-10-28,jb010,
178826,2023-10-27,jb010,
178819,2023-10-26,jb010,
178812,2023-10-25,jb010,
178805,2023-10-24,jb010,
178798,2023-10-23,jb010,
178791,2023-10-22,jb010,
178784,2023-10-21,jb010,
178777,2023-10-20,jb010,
178770,2023-10-19,jb010,
178763,2023-10-18,jb010,
178756,2023-10-17,jb010,
178749,2023-10-16,jb010,
178742,2023-10-15,jb010,
178735,2023-10-14,jb010,
178728,2023-10-13,jb010,
178721,2023-10-12,jb010,
178714,2023-10-11,jb010,
178707,2023-10-10,jb010,
178700,2023-10-09,jb010,
178693,2023-10-08,jb010,
178686,2023-10-07,jb010,
178679,2023-10-06,jb010,
178672,2023-10-05,jb010,
178665,2023-10-04,jb010,
178658,2023-10-03,jb010,
178651,2023-10-02,jb010,
178644,2023-10-01,jb010,
178637,2023-09-30,jb010,
178630,2023-09-29,jb010,
178623,2023-09-28,jb010,
178616,2023-09-27,jb010,
178609,2023-09-26,jb010,
178602,2023-09-25,jb010,
178595,2023-09-24,jb010,
178588,2023-09-23,jb010,
178581,2023-09-22,jb010,
178574,2023-09-21,jb010,
178567,2023-09-20,jb010,
178560,2023-09-19,jb010,
178553,2023-09-18,jb010,
178546,2023-09-17,jb010,
178539,2023-09-16,jb010,
178532,2023-09-15,jb010,
178525,2023-09-14,jb010,
178518,2023-09-13,jb010,
178511,2023-09-12,jb010,
178504,2023-09-11,jb010,
178497,2023-09-10,jb010,
178490,2023-09-09,jb010,
178483,2023-09-08,jb010,
178476,2023-09-07,jb010,
178469,2023-09-06,jb010,
178462,2023-09-05,jb010,
178455,2023-09-04,jb010,
178448,2023-09-03,jb010,
178441,2023-09-02,jb010,
178434,2023-09-01,jb010,
178427,2023-08-31,jb010,
178420,2023-08-30,jb010,
178413,2023-08-29,jb010,
178406,2023-08-28,jb010,
178399,2023-08-27,jb010,
178392,2023-08-26,jb010,
178385,2023-08-25,jb010,
178378,2023-08-24,jb010,
178371,2023-08-23,jb010,
178364,2023-08-22,jb010,
178357,2023-08-21,jb010,
178350,2023-08-20,jb010,
178343,2023-08-19,jb010,
178336,2023-08-18,jb010,
178329,2023-08-17,jb010,
178322,2023-08-16,jb010,
178315,2023-08-15,jb010,
178308,2023-08-14,jb010,
178301,2023-08-13,jb010,
178294,2023-08-12,jb010,
178287,2023-08-11,jb010,
178280,2023-08-10,jb010,
178273,2023-08-09,jb010,
178266,2023-08-08,jb010,
178259,2023-08-07,jb010,
178252,2023-08-06,jb010,
178245,2023-08-05,jb010,
178238,2023-08-04,jb010,
178231,2023-08-03,jb010,
178224,2023-08-02,jb010,
178217,2023-08-01,jb010,
178210,2023-07-31,jb010,
178203,2023-07-30,jb010,
178196,2023-07-29,jb010,
178189,2023-07-28,jb010,
178182,2023-07-27,jb010,
178175,2023-07-26,jb010,
178168,2023-07-25,jb010,
178161,2023-07-24,jb010,
178154,2023-07-23,jb010,
178147,2023-07-22,jb010,
178140,2023-07-21,jb010,
178133,2023-07-20,jb010,
178126,2023-07-19,jb010,
178119,2023-07-18,jb010,
178112,2023-07-17,jb010,
178105,2023-07-16,jb010,
178098,2023-07-15,jb010,
178091,2023-07-14,jb010,
178084,2023-07-13,jb010,
178077,2023-07-12,jb010,
178070,2023-07-11,jb010,
178063,2023-07-10,jb010,
178056,2023-07-09,jb010,
178049,2023-07-08,jb010,
178042,2023-07-07,jb010,
178035,2023-07-06,jb010,
178028,2023-07-05,jb010,
178021,2023-07-04,jb010,
178014,2023-07-03,jb010,
178007,2023-07-02,jb010,
178000,2023-07-01,jb010,
177993,2023-06-30,jb010,
177986,2023-06-29,jb010,
177979,2023-06-28,jb010,
177972,2023-06-27,jb010,
177965,2023-06-26,jb010,
177958,2023-06-25,jb010,
177951,2023-06-24,jb010,
177944,2023-06-23,jb010,
177937,2023-06-22,jb010,
177930,2023-06-21,jb010,
177923,2023-06-20,jb010,
177916,2023-06-19,jb010,
177909,2023-06-18,jb010,
177902,2023-06-17,jb010,
177895,2023-06-16,jb010,
177888,2023-06-15,jb010,
177881,2023-06-14,jb010,
177874,2023-06-13,jb010,
177867,2023-06-12,jb010,
177860,2023-06-11,jb010,
177853,2023-06-10,jb010,
177846,2023-06-09,jb010,
177839,2023-06-08,jb010,
177832,2023-06-07,jb010,
177825,2023-06-06,jb010,
177818,2023-06-05,jb010,
177811,2023-06-04,jb010,
177804,2023-06-03,jb010,
177797,2023-06-02,jb010,
177790,2023-06-01,jb010,
177783,2023-05-31,jb010,
177776,2023-05-30,jb010,
177769,2023-05-29,jb010,
177762,2023-05-28,jb010,
177755,2023-05-27,jb010,
177748,2023-05-26,jb010,
177741,2023-05-25,jb010,
177734,2023-05-24,jb010,
177727,2023-05-23,jb010,
177720,2023-05-22,jb010,
177713,2023-05-21,jb010,
177706,2023-05-20,jb010,
177699,2023-05-19,jb010,
177692,2023-05-18,jb010,
177678,2023-05-17,jb010,
177687,2023-05-16,jb010,
175941,2023-05-15,jb010,
175934,2023-05-14,jb010,
175927,2023-05-13,jb010,
175920,2023-05-12,jb010,
175913,2023-05-11,jb010,
175906,2023-05-10,jb010,
175899,2023-05-09,jb010,
175892,2023-05-08,jb010,
175885,2023-05-07,jb010,
175878,2023-05-06,jb010,
175871,2023-05-05,jb010,
175864,2023-05-04,jb010,
175857,2023-05-03,jb010,
175850,2023-05-02,jb010,
175843,2023-05-01,jb010,
175836,2023-04-30,jb010,
175829,2023-04-29,jb010,
175822,2023-04-28,jb010,
175815,2023-04-27,jb010,
175808,2023-04-26,jb010,
175801,2023-04-25,jb010,
175794,2023-04-24,jb010,
175787,2023-04-23,jb010,
175780,2023-04-22,jb010,
175773,2023-04-21,jb010,
175766,2023-04-20,jb010,
175759,2023-04-19,jb010,
175752,2023-04-18,jb010,
175745,2023-04-17,jb010,
175738,2023-04-16,jb010,
175731,2023-04-15,jb010,
175724,2023-04-14,jb010,
175717,2023-04-13,jb010,
175710,2023-04-12,jb010,
175703,2023-04-11,jb010,
175696,2023-04-10,jb010,
175689,2023-04-09,jb010,
175682,2023-04-08,jb010,
175675,2023-04-07,jb010,
175668,2023-04-06,jb010,
175661,2023-04-05,jb010,
175654,2023-04-04,jb010,
175647,2023-04-03,jb010,
175640,2023-04-02,jb010,
175633,2023-04-01,jb010,
175626,2023-03-31,jb010,
175612,2023-03-30,jb010,
175605,2023-03-29,jb010,
175528,2023-03-28,jb010,
175465,2023-03-27,jb010,
174789,2023-03-26,jb010,
174794,2023-03-25,jb010,
174801,2023-03-24,jb010,
174808,2023-03-23,jb010,
174816,2023-03-22,jb010,
174826,2023-03-21,jb010,
174832,2023-03-20,jb010,
174839,2023-03-19,jb010,
174845,2023-03-18,jb010,
174851,2023-03-17,jb010,
174859,2023-03-16,jb010,
174868,2023-03-15,jb010,
174874,2023-03-14,jb010,
174882,2023-03-13,jb010,
174887,2023-03-12,jb010,
174895,2023-03-11,jb010,
174903,2023-03-10,jb010,
174908,2023-03-09,jb010,
174917,2023-03-08,jb010,
174920,2023-03-07,jb010,
174929,2023-03-06,jb010,
174936,2023-03-05,jb010,
174944,2023-03-04,jb010,
174951,2023-03-03,jb010,
174970,2023-03-01,jb010,
174979,2023-02-28,jb010,
174985,2023-02-27,jb010,
174994,2023-02-26,jb010,
175000,2023-02-25,jb010,
175006,2023-02-24,jb010,
175014,2023-02-23,jb010,
175020,2023-02-22,jb010,
175024,2023-02-21,jb010,
175035,2023-02-20,jb010,
175041,2023-02-19,jb010,
175046,2023-02-18,jb010,
175051,2023-02-17,jb010,
175055,2023-02-16,jb010,
175063,2023-02-15,jb010,
175071,2023-02-14,jb010,
175073,2023-02-13,jb010,
175086,2023-02-12,jb010,
175089,2023-02-11,jb010,
175099,2023-02-10,jb010,
175107,2023-02-09,jb010,
175111,2023-02-08,jb010,
175120,2023-02-07,jb010,
175128,2023-02-06,jb010,
175134,2023-02-05,jb010,
175142,2023-02-04,jb010,
175148,2023-02-03,jb010,
175155,2023-02-02,jb010,
175163,2023-02-01,jb010,
175170,2023-01-31,jb010,
175174,2023-01-30,jb010,
175183,2023-01-29,jb010,
175188,2023-01-28,jb010,
175192,2023-01-27,jb010,
175203,2023-01-26,jb010,
175211,2023-01-25,jb010,
175219,2023-01-24,jb010,
175224,2023-01-23,jb010,
