id,date,station_number,level(m)
179219,2023-12-22,sh001,
179212,2023-12-21,sh001,4.24
179205,2023-12-20,sh001,4.33
179198,2023-12-19,sh001,4.45
179191,2023-12-18,sh001,4.7
179184,2023-12-17,sh001,4.7
179177,2023-12-16,sh001,4.8
179170,2023-12-15,sh001,4.95
179163,2023-12-14,sh001,5.2
179156,2023-12-13,sh001,6.3
179149,2023-12-12,sh001,7.65
179142,2023-12-11,sh001,8.0
179135,2023-12-10,sh001,8.3
179128,2023-12-09,sh001,8.3
179121,2023-12-08,sh001,8.3
179114,2023-12-07,sh001,8.3
179107,2023-12-06,sh001,8.3
179100,2023-12-05,sh001,8.3
179093,2023-12-04,sh001,8.3
179086,2023-12-03,sh001,8.3
179079,2023-12-02,sh001,8.3
179072,2023-12-01,sh001,8.3
179065,2023-11-30,sh001,8.3
179058,2023-11-29,sh001,8.3
179051,2023-11-28,sh001,8.3
179044,2023-11-27,sh001,8.3
179037,2023-11-26,sh001,8.3
179030,2023-11-25,sh001,8.3
179023,2023-11-24,sh001,8.3
179016,2023-11-23,sh001,8.3
179009,2023-11-22,sh001,8.3
179002,2023-11-21,sh001,8.3
178995,2023-11-20,sh001,8.3
178988,2023-11-19,sh001,8.3
178981,2023-11-18,sh001,8.3
178974,2023-11-17,sh001,8.3
178967,2023-11-16,sh001,8.3
178960,2023-11-15,sh001,8.3
178953,2023-11-14,sh001,9.0
178946,2023-11-13,sh001,8.3
178939,2023-11-12,sh001,8.3
178932,2023-11-11,sh001,7.9
178925,2023-11-10,sh001,7.68
178918,2023-11-09,sh001,7.6
178911,2023-11-08,sh001,7.52
178904,2023-11-07,sh001,7.4
178897,2023-11-06,sh001,7.18
178890,2023-11-05,sh001,6.94
178883,2023-11-04,sh001,6.82
178876,2023-11-03,sh001,6.68
178869,2023-11-02,sh001,6.58
178862,2023-11-01,sh001,6.5
178855,2023-10-31,sh001,6.44
178848,2023-10-30,sh001,6.44
178841,2023-10-29,sh001,6.4
178834,2023-10-28,sh001,6.35
178827,2023-10-27,sh001,6.28
178820,2023-10-26,sh001,6.22
178813,2023-10-25,sh001,6.22
178806,2023-10-24,sh001,6.18
178799,2023-10-23,sh001,6.1
178792,2023-10-22,sh001,6.1
178785,2023-10-21,sh001,6.44
178778,2023-10-20,sh001,5.15
178771,2023-10-19,sh001,4.95
178764,2023-10-18,sh001,4.75
178757,2023-10-17,sh001,4.85
178750,2023-10-16,sh001,5.0
178743,2023-10-15,sh001,5.22
178736,2023-10-14,sh001,5.45
178729,2023-10-13,sh001,5.72
178722,2023-10-12,sh001,6.0
178715,2023-10-11,sh001,6.0
178708,2023-10-10,sh001,5.94
178701,2023-10-09,sh001,5.88
178694,2023-10-08,sh001,5.78
178687,2023-10-07,sh001,5.65
178680,2023-10-06,sh001,5.44
178673,2023-10-05,sh001,5.3
178666,2023-10-04,sh001,5.18
178659,2023-10-03,sh001,5.1
178652,2023-10-02,sh001,5.0
178645,2023-10-01,sh001,4.9
178638,2023-09-30,sh001,4.84
178631,2023-09-29,sh001,4.12
178624,2023-09-28,sh001,3.85
178617,2023-09-27,sh001,3.65
178610,2023-09-26,sh001,3.5
178603,2023-09-25,sh001,3.27
178596,2023-09-24,sh001,3.0
178589,2023-09-23,sh001,2.75
178582,2023-09-22,sh001,2.46
178575,2023-09-21,sh001,2.5
178568,2023-09-20,sh001,2.55
178561,2023-09-19,sh001,2.6
178554,2023-09-18,sh001,2.64
178547,2023-09-17,sh001,2.38
178540,2023-09-16,sh001,2.75
178533,2023-09-15,sh001,2.8
178526,2023-09-14,sh001,2.84
178519,2023-09-13,sh001,2.9
178512,2023-09-12,sh001,2.95
178505,2023-09-11,sh001,3.0
178498,2023-09-10,sh001,3.0
178491,2023-09-09,sh001,3.08
178484,2023-09-08,sh001,3.15
178477,2023-09-07,sh001,3.2
178470,2023-09-06,sh001,3.24
178463,2023-09-05,sh001,3.3
178456,2023-09-04,sh001,3.35
178449,2023-09-03,sh001,3.4
178442,2023-09-02,sh001,3.44
