id,date,station_number,level(m)
179220,2023-12-22,sh002,
179213,2023-12-21,sh002,6.22
179206,2023-12-20,sh002,6.72
179199,2023-12-19,sh002,6.95
179192,2023-12-18,sh002,8.0
179185,2023-12-17,sh002,8.0
179178,2023-12-16,sh002,8.0
179171,2023-12-15,sh002,8.0
179164,2023-12-14,sh002,8.0
179157,2023-12-13,sh002,8.0
179150,2023-12-12,sh002,8.0
179143,2023-12-11,sh002,8.0
179136,2023-12-10,sh002,8.0
179129,2023-12-09,sh002,8.3
179122,2023-12-08,sh002,8.0
179115,2023-12-07,sh002,8.0
179108,2023-12-06,sh002,8.0
179101,2023-12-05,sh002,8.0
179094,2023-12-04,sh002,8.0
179087,2023-12-03,sh002,8.0
179080,2023-12-02,sh002,8.0
179073,2023-12-01,sh002,8.0
179066,2023-11-30,sh002,8.0
179059,2023-11-29,sh002,8.0
179052,2023-11-28,sh002,8.0
179045,2023-11-27,sh002,8.0
179038,2023-11-26,sh002,8.0
179031,2023-11-25,sh002,8.0
179024,2023-11-24,sh002,8.0
179017,2023-11-23,sh002,8.0
179010,2023-11-22,sh002,8.0
179003,2023-11-21,sh002,7.95
178996,2023-11-20,sh002,7.52
178989,2023-11-19,sh002,7.4
178982,2023-11-18,sh002,7.12
178975,2023-11-17,sh002,7.05
178968,2023-11-16,sh002,7.0
178961,2023-11-15,sh002,6.96
178954,2023-11-14,sh002,6.9
178947,2023-11-13,sh002,6.84
178940,2023-11-12,sh002,6.8
178933,2023-11-11,sh002,6.72
178926,2023-11-10,sh002,6.65
178919,2023-11-09,sh002,6.59
178912,2023-11-08,sh002,6.55
178905,2023-11-07,sh002,6.5
178898,2023-11-06,sh002,6.44
178891,2023-11-05,sh002,6.3
178884,2023-11-04,sh002,6.12
178877,2023-11-03,sh002,6.06
178870,2023-11-02,sh002,6.0
178863,2023-11-01,sh002,5.94
178856,2023-10-31,sh002,5.88
178849,2023-10-30,sh002,5.8
178842,2023-10-29,sh002,5.76
178835,2023-10-28,sh002,5.68
178828,2023-10-27,sh002,5.62
178821,2023-10-26,sh002,5.55
178814,2023-10-25,sh002,5.48
178807,2023-10-24,sh002,5.4
178800,2023-10-23,sh002,5.28
178793,2023-10-22,sh002,5.04
178786,2023-10-21,sh002,4.94
178779,2023-10-20,sh002,4.82
178772,2023-10-19,sh002,4.9
178765,2023-10-18,sh002,5.0
178758,2023-10-17,sh002,5.08
178751,2023-10-16,sh002,5.18
178744,2023-10-15,sh002,5.24
178737,2023-10-14,sh002,5.52
178730,2023-10-13,sh002,5.46
178723,2023-10-12,sh002,5.4
178716,2023-10-11,sh002,5.33
178709,2023-10-10,sh002,5.28
178702,2023-10-09,sh002,5.2
178695,2023-10-08,sh002,5.14
178688,2023-10-07,sh002,5.09
178681,2023-10-06,sh002,5.02
178674,2023-10-05,sh002,4.88
178667,2023-10-04,sh002,4.44
178660,2023-10-03,sh002,4.02
