id,date,station_number,level(m)
179221,2023-12-22,sh004,
179214,2023-12-21,sh004,4.8
179207,2023-12-20,sh004,4.8
179200,2023-12-19,sh004,4.8
179193,2023-12-18,sh004,4.8
179186,2023-12-17,sh004,4.8
179179,2023-12-16,sh004,4.8
179172,2023-12-15,sh004,4.82
179165,2023-12-14,sh004,4.82
179158,2023-12-13,sh004,4.87
179151,2023-12-12,sh004,4.9
179144,2023-12-11,sh004,4.9
179137,2023-12-10,sh004,4.9
179130,2023-12-09,sh004,4.9
179123,2023-12-08,sh004,4.9
179116,2023-12-07,sh004,4.9
179109,2023-12-06,sh004,4.9
179102,2023-12-05,sh004,4.9
179095,2023-12-04,sh004,4.95
179088,2023-12-03,sh004,5.0
179081,2023-12-02,sh004,5.0
179074,2023-12-01,sh004,5.0
179067,2023-11-30,sh004,5.0
179060,2023-11-29,sh004,4.98
179053,2023-11-28,sh004,5.0
179046,2023-11-27,sh004,5.0
179039,2023-11-26,sh004,5.0
179032,2023-11-25,sh004,5.0
179025,2023-11-24,sh004,5.0
179018,2023-11-23,sh004,5.0
179011,2023-11-22,sh004,5.0
179004,2023-11-21,sh004,5.0
178997,2023-11-20,sh004,4.9
178990,2023-11-19,sh004,4.6
178983,2023-11-18,sh004,4.5
178976,2023-11-17,sh004,4.3
178969,2023-11-16,sh004,4.3
178962,2023-11-15,sh004,4.3
178955,2023-11-14,sh004,4.3
178948,2023-11-13,sh004,4.3
178941,2023-11-12,sh004,4.35
178934,2023-11-11,sh004,4.3
178927,2023-11-10,sh004,4.3
178920,2023-11-09,sh004,4.3
178913,2023-11-08,sh004,4.3
178906,2023-11-07,sh004,4.3
178899,2023-11-06,sh004,4.38
178892,2023-11-05,sh004,4.38
178885,2023-11-04,sh004,4.28
178878,2023-11-03,sh004,4.37
178871,2023-11-02,sh004,4.3
178864,2023-11-01,sh004,4.3
178857,2023-10-31,sh004,4.3
178850,2023-10-30,sh004,4.28
178843,2023-10-29,sh004,4.2
178836,2023-10-28,sh004,4.2
178829,2023-10-27,sh004,4.2
178822,2023-10-26,sh004,4.27
178815,2023-10-25,sh004,4.28
178808,2023-10-24,sh004,4.28
178801,2023-10-23,sh004,4.28
178794,2023-10-22,sh004,4.08
178787,2023-10-21,sh004,3.95
178780,2023-10-20,sh004,3.95
178773,2023-10-19,sh004,4.0
178766,2023-10-18,sh004,4.0
178759,2023-10-17,sh004,4.1
178752,2023-10-16,sh004,4.28
178745,2023-10-15,sh004,4.35
178738,2023-10-14,sh004,4.4
178731,2023-10-13,sh004,4.4
178724,2023-10-12,sh004,4.4
178717,2023-10-11,sh004,4.4
178710,2023-10-10,sh004,4.4
178703,2023-10-09,sh004,4.48
178696,2023-10-08,sh004,4.58
178689,2023-10-07,sh004,4.6
178682,2023-10-06,sh004,4.6
178675,2023-10-05,sh004,4.5
178668,2023-10-04,sh004,4.57
178661,2023-10-03,sh004,4.6
178654,2023-10-02,sh004,4.77
178647,2023-10-01,sh004,4.75
178640,2023-09-30,sh004,4.58
178633,2023-09-29,sh004,4.48
178626,2023-09-28,sh004,4.3
178619,2023-09-27,sh004,4.0
178612,2023-09-26,sh004,4.0
178605,2023-09-25,sh004,3.95
178598,2023-09-24,sh004,3.85
178591,2023-09-23,sh004,3.7
178584,2023-09-22,sh004,3.6
178577,2023-09-21,sh004,3.6
178570,2023-09-20,sh004,3.6
178563,2023-09-19,sh004,3.6
178556,2023-09-18,sh004,3.5
178549,2023-09-17,sh004,3.1
178542,2023-09-16,sh004,3.1
178535,2023-09-15,sh004,3.1
178528,2023-09-14,sh004,3.1
178521,2023-09-13,sh004,3.1
178514,2023-09-12,sh004,3.1
178507,2023-09-11,sh004,3.1
178500,2023-09-10,sh004,3.1
178493,2023-09-09,sh004,3.1
178486,2023-09-08,sh004,3.2
178479,2023-09-07,sh004,3.2
178472,2023-09-06,sh004,3.2
178465,2023-09-05,sh004,3.3
178458,2023-09-04,sh004,3.4
178451,2023-09-03,sh004,3.5
178444,2023-09-02,sh004,3.6
178437,2023-09-01,sh004,3.6
178430,2023-08-31,sh004,3.6
178423,2023-08-30,sh004,3.6
178416,2023-08-29,sh004,3.7
178409,2023-08-28,sh004,3.8
178402,2023-08-27,sh004,3.9
178395,2023-08-26,sh004,3.9
178388,2023-08-25,sh004,3.9
178381,2023-08-24,sh004,3.9
178374,2023-08-23,sh004,3.9
178367,2023-08-22,sh004,3.9
178360,2023-08-21,sh004,3.9
178353,2023-08-20,sh004,3.9
178346,2023-08-19,sh004,3.9
178339,2023-08-18,sh004,3.9
178332,2023-08-17,sh004,3.95
178325,2023-08-16,sh004,3.95
178318,2023-08-15,sh004,3.95
178311,2023-08-14,sh004,3.95
178304,2023-08-13,sh004,3.9
178297,2023-08-12,sh004,3.9
178290,2023-08-11,sh004,3.95
178283,2023-08-10,sh004,4.0
178276,2023-08-09,sh004,4.1
178269,2023-08-08,sh004,4.1
178262,2023-08-07,sh004,4.1
178255,2023-08-06,sh004,4.18
178248,2023-08-05,sh004,4.25
178241,2023-08-04,sh004,4.25
178234,2023-08-03,sh004,4.18
178227,2023-08-02,sh004,4.1
178220,2023-08-01,sh004,4.1
178213,2023-07-31,sh004,4.1
178206,2023-07-30,sh004,4.15
178199,2023-07-29,sh004,4.2
178192,2023-07-28,sh004,4.2
178185,2023-07-27,sh004,4.2
178178,2023-07-26,sh004,4.15
178171,2023-07-25,sh004,4.15
178164,2023-07-24,sh004,4.15
178157,2023-07-23,sh004,4.0
178150,2023-07-22,sh004,4.0
178143,2023-07-21,sh004,4.0
178136,2023-07-20,sh004,4.0
178129,2023-07-19,sh004,4.0
178122,2023-07-18,sh004,4.0
178115,2023-07-17,sh004,4.0
178108,2023-07-16,sh004,4.0
178101,2023-07-15,sh004,4.0
178094,2023-07-14,sh004,3.9
178087,2023-07-13,sh004,3.9
178080,2023-07-12,sh004,3.9
178073,2023-07-11,sh004,3.9
178066,2023-07-10,sh004,3.9
178059,2023-07-09,sh004,3.9
178052,2023-07-08,sh004,3.9
178045,2023-07-07,sh004,3.95
178038,2023-07-06,sh004,3.95
178031,2023-07-05,sh004,4.0
178024,2023-07-04,sh004,4.0
178017,2023-07-03,sh004,4.08
178010,2023-07-02,sh004,4.08
178003,2023-07-01,sh004,4.0
177996,2023-06-30,sh004,4.0
177989,2023-06-29,sh004,3.8
177982,2023-06-28,sh004,3.8
177975,2023-06-27,sh004,3.8
177968,2023-06-26,sh004,3.8
177961,2023-06-25,sh004,3.8
177954,2023-06-24,sh004,3.8
177947,2023-06-23,sh004,3.8
177940,2023-06-22,sh004,3.8
177933,2023-06-21,sh004,3.8
177926,2023-06-20,sh004,3.8
177919,2023-06-19,sh004,3.8
177912,2023-06-18,sh004,3.85
177905,2023-06-17,sh004,3.85
177898,2023-06-16,sh004,3.9
177891,2023-06-15,sh004,3.9
177884,2023-06-14,sh004,3.9
177877,2023-06-13,sh004,3.9
177870,2023-06-12,sh004,3.8
177863,2023-06-11,sh004,3.8
177856,2023-06-10,sh004,3.8
177849,2023-06-09,sh004,3.8
177842,2023-06-08,sh004,3.75
177835,2023-06-07,sh004,3.8
177828,2023-06-06,sh004,3.8
177821,2023-06-05,sh004,3.8
177814,2023-06-04,sh004,3.75
177807,2023-06-03,sh004,3.7
177800,2023-06-02,sh004,3.7
177793,2023-06-01,sh004,3.7
177786,2023-05-31,sh004,3.7
177779,2023-05-30,sh004,3.7
177772,2023-05-29,sh004,3.7
177765,2023-05-28,sh004,3.75
177758,2023-05-27,sh004,3.75
177751,2023-05-26,sh004,3.75
177744,2023-05-25,sh004,3.75
177737,2023-05-24,sh004,3.75
177730,2023-05-23,sh004,3.75
177723,2023-05-22,sh004,3.75
177716,2023-05-21,sh004,3.75
177709,2023-05-20,sh004,3.75
177702,2023-05-19,sh004,3.75
177695,2023-05-18,sh004,3.75
177681,2023-05-17,sh004,3.75
